,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
378,26.0,2-8-30,0.0516,0.3134,0.093,0.0362,0.0753,0.0948,0.0,0.3357,437.0,4.52,3.28,2.8,2.83,2.0,8.0
379,30.0,2-8-34,0.0614,0.2577,0.0728,0.0559,0.0599,0.1811,0.0,0.311,475.0,4.77,2.94,2.38,2.58,2.0,8.0
380,34.0,2-8-38,0.0607,0.2084,0.05,0.0448,0.066,0.2849,0.0,0.2852,507.0,5.0,2.62,1.98,2.34,2.0,8.0
381,38.0,2-8-42,0.0499,0.1959,0.0444,0.047,0.0672,0.3215,0.0,0.2741,536.0,5.24,2.5,1.85,2.09,2.0,8.0
382,42.0,2-8-46,0.0428,0.1718,0.0388,0.0556,0.0728,0.3718,0.0,0.2463,584.0,5.29,2.23,1.52,1.84,2.0,8.0
383,46.0,2-8-50,0.0402,0.1531,0.0348,0.0533,0.0795,0.4143,0.0,0.2247,597.0,5.33,2.03,1.27,1.6,2.0,8.0
384,50.0,2-8-54,0.0364,0.1414,0.0317,0.0545,0.0809,0.4416,0.0,0.2132,743.0,5.52,1.91,1.13,1.35,2.0,8.0
385,54.0,2-8-58,0.0342,0.131,0.0292,0.0628,0.0749,0.4731,0.0001,0.1946,707.0,5.66,1.75,0.94,1.11,2.0,8.0
386,58.0,2-8-6,0.0352,0.4202,0.023,0.0246,0.0433,0.0013,0.0,0.4523,675.0,2.58,4.42,4.21,4.28,2.0,8.0
387,6.0,2-8-62,0.0312,0.1157,0.0256,0.0581,0.0756,0.5122,0.0002,0.1813,784.0,5.71,1.61,0.77,0.86,2.0,8.0
388,62.0,2-8-66,0.0287,0.1074,0.024,0.0577,0.0787,0.5332,0.0002,0.1702,769.0,5.81,1.51,0.65,0.61,2.0,8.0
389,66.0,2-8-70,0.0273,0.1012,0.0226,0.0534,0.0784,0.5594,0.0002,0.1575,686.0,5.89,1.4,0.53,0.37,2.0,8.0
390,70.0,2-8-74,0.0235,0.0898,0.0197,0.0576,0.0822,0.5811,0.0002,0.1458,1121.0,5.95,1.29,0.38,0.12,2.0,8.0
391,74.0,2-8-78,0.022,0.0821,0.0182,0.0492,0.0829,0.6128,0.0005,0.1321,392.0,5.95,1.17,0.25,-0.13,2.0,8.0
392,78.0,2-8-82,0.0195,0.0735,0.0162,0.0571,0.0791,0.6305,0.0021,0.1219,350.0,5.96,1.07,0.13,-0.37,2.0,8.0
393,82.0,2-8-86,0.0174,0.0679,0.0148,0.0566,0.0818,0.6362,0.0052,0.1166,297.0,6.03,1.01,0.07,-0.62,2.0,8.0
394,86.0,2-8-90,0.0151,0.0592,0.0131,0.0604,0.0839,0.6509,0.0159,0.1014,194.0,5.85,0.85,-0.11,-0.86,2.0,8.0
395,90.0,2-8-94,0.0139,0.0498,0.011,0.0434,0.072,0.6905,0.0274,0.0919,159.0,5.81,0.74,-0.2,-1.11,2.0,8.0
396,94.0,2-9-10,0.0321,0.4108,0.032,0.0269,0.0402,0.0032,0.0003,0.4545,313.0,2.94,4.4,4.19,3.99,2.0,9.0
397,10.0,2-9-14,0.0301,0.4148,0.0539,0.0173,0.0565,0.0038,0.0,0.4235,314.0,3.21,4.2,3.95,3.75,2.0,9.0
398,14.0,2-9-18,0.0319,0.4027,0.0763,0.0291,0.0498,0.0095,0.0,0.4006,326.0,3.53,4.0,3.71,3.5,2.0,9.0
399,18.0,2-9-22,0.0339,0.4075,0.09,0.0273,0.0514,0.024,0.0,0.366,376.0,3.91,3.78,3.45,3.25,2.0,9.0
